team,win_rate
Brazil,0.661
Germany,0.611
Italy,0.542
Netherlands,0.536
France,0.534
Argentina,0.534
Portugal,0.486
Hungary,0.469
Spain,0.456
Turkey,0.455
Poland,0.447
Croatia,0.433
England,0.432
Yugoslavia,0.424
Russia,0.422
Senegal,0.417
Uruguay,0.417
Austria,0.414
Colombia,0.409
Belgium,0.404
Ivory Coast,0.4
Ukraine,0.4
Denmark,0.391
Sweden,0.385
Romania,0.381
Czechoslovakia,0.367
Ecuador,0.357
Switzerland,0.333
Jamaica,0.333
Chile,0.333
Ghana,0.333
German DR,0.333
Cuba,0.333
Mexico,0.295
Nigeria,0.286
Costa Rica,0.286
Peru,0.278
Japan,0.269
United States,0.263
Norway,0.25
Serbia,0.25
Slovakia,0.25
Czech Republic,0.25
Paraguay,0.25
Bosnia and Herzegovina,0.25
Australia,0.238
Algeria,0.231
Northern Ireland,0.231
Morocco,0.208
Scotland,0.208
South Korea,0.205
South Africa,0.2
Saudi Arabia,0.2
Greece,0.2
Cameroon,0.192
Slovenia,0.167
Iran,0.158
Tunisia,0.158
Republic of Ireland,0.154
North Korea,0.143
Wales,0.125
Bulgaria,0.115
Curaçao,0.0
China,0.0
Bolivia,0.0
Angola,0.0
Cape Verde,0.0
Canada,0.0
New Zealand,0.0
Kuwait,0.0
Iceland,0.0
Israel,0.0
Iraq,0.0
Indonesia,0.0
Haiti,0.0
Honduras,0.0
El Salvador,0.0
Egypt,0.0
DR Congo,0.0
Qatar,0.0
Panama,0.0
Togo,0.0
Trinidad and Tobago,0.0
United Arab Emirates,0.0
